"wetting potential","permeability-X","permeability-Y","permeability-Offdiagonal","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.3392,1,1,0,1,0,0,0.1,0
3.3392,1,1,0,1,0.00012721,8.9955e-005,0.10009,0
3.3392,1,1,0,1,0.00025443,0.00017991,0.10018,0
3.3392,1,1,0,1,0.00038164,0.00026987,0.10027,0
3.3392,1,1,0,1,0.00050886,0.00035982,0.10036,0
3.3392,1,1,0,1,0.00063608,0.00044978,0.10045,0
3.3392,1,1,0,1,0.00076329,0.00053973,0.10054,0
3.3392,1,1,0,1,0.00089051,0.00062969,0.10063,0
3.3392,1,1,0,1,0.0010177,0.00071964,0.10072,0
3.3392,1,1,0,1,0.0011449,0.0008096,0.10081,0
3.3392,1,1,0,1,0.0012722,0.00089955,0.1009,0
3.3392,1,1,0,1,0.0013994,0.00098951,0.10099,0
3.3383,1,1,0,1,0.0015266,0.0010795,0.10108,0
3.3383,1,1,0,1,0.0016538,0.0011694,0.10117,0
3.3383,1,1,0,1,0.001781,0.0012594,0.10126,0
3.3383,1,1,0,1,0.0019082,0.0013493,0.10135,0
3.3383,1,1,0,1,0.0020355,0.0014393,0.10144,0
3.3383,1,1,0,1,0.0021627,0.0015292,0.10153,0
3.3383,1,1,0,1,0.0022899,0.0016192,0.10162,0
3.3383,1,1,0,1,0.0024171,0.0017091,0.10171,0
3.3383,1,1,0,1,0.0025443,0.0017991,0.1018,0
3.3383,1,1,0,1,0.0026715,0.0018891,0.10189,0
3.3383,1,1,0,1,0.0027987,0.001979,0.10198,0
3.3373,1,1,0,1,0.002926,0.002069,0.10207,0
3.3373,1,1,0,1,0.0030532,0.0021589,0.10216,0
3.3373,1,1,0,1,0.0031804,0.0022489,0.10225,0
3.3373,1,1,0,1,0.0033076,0.0023388,0.10234,0
3.3373,1,1,0,1,0.0034348,0.0024288,0.10243,0
3.3373,1,1,0,1,0.003562,0.0025187,0.10252,0
3.3373,1,1,0,1,0.0036893,0.0026087,0.10261,0
3.3373,1,1,0,1,0.0038165,0.0026987,0.1027,0
3.3373,1,1,0,1,0.0039437,0.0027886,0.10279,0
3.3373,1,1,0,1,0.0040709,0.0028786,0.10288,0
3.3373,1,1,0,1,0.0041981,0.0029685,0.10297,0
3.3363,1,1,0,1,0.0043253,0.0030585,0.10306,0
3.3363,1,1,0,1,0.0044525,0.0031484,0.10315,0
3.3363,1,1,0,1,0.0045798,0.0032384,0.10324,0
3.3363,1,1,0,1,0.004707,0.0033283,0.10333,0
3.3363,1,1,0,1,0.0048342,0.0034183,0.10342,0
3.3363,1,1,0,1,0.0049614,0.0035082,0.10351,0
3.3363,1,1,0,1,0.0050886,0.0035982,0.1036,0
3.3363,1,1,0,1,0.0052158,0.0036882,0.10369,0
3.3363,1,1,0,1,0.0053431,0.0037781,0.10378,0
3.3363,1,1,0,1,0.0054703,0.0038681,0.10387,0
3.3363,1,1,0,1,0.0055975,0.003958,0.10396,0
3.3354,1,1,0,1,0.0057247,0.004048,0.10405,0
3.3354,1,1,0,1,0.0058519,0.0041379,0.10414,0
3.3354,1,1,0,1,0.0059791,0.0042279,0.10423,0
3.3354,1,1,0,1,0.0061064,0.0043178,0.10432,0
3.3354,1,1,0,1,0.0062336,0.0044078,0.10441,0
3.3354,1,1,0,1,0.0063608,0.0044978,0.1045,0
3.3354,1,1,0,1,0.006488,0.0045877,0.10459,0
3.3354,1,1,0,1,0.0066152,0.0046777,0.10468,0
3.3354,1,1,0,1,0.0067424,0.0047676,0.10477,0
3.3354,1,1,0,1,0.0068696,0.0048576,0.10486,0
3.3354,1,1,0,1,0.0069969,0.0049475,0.10495,0
3.3344,1,1,0,1,0.0071241,0.0050375,0.10504,0
3.3344,1,1,0,1,0.0072513,0.0051274,0.10513,0
3.3344,1,1,0,1,0.0073785,0.0052174,0.10522,0
3.3344,1,1,0,1,0.0075057,0.0053073,0.10531,0
3.3344,1,1,0,1,0.0076329,0.0053973,0.1054,0
3.3344,1,1,0,1,0.0077602,0.0054873,0.10549,0
3.3344,1,1,0,1,0.0078874,0.0055772,0.10558,0
3.3344,1,1,0,1,0.0080146,0.0056672,0.10567,0
