"wetting potential","permeability-X","permeability-Y","permeability-Offdiagonal","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.184479951859e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,0.000000000000e+00,5.000000000000e-01,0.000000000000e+00,0.000000000000e+00
1.184470057487e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,9.999999776483e-03,5.000000000000e-01,9.999999776483e-03,0.000000000000e+00
1.184440016747e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.999999955297e-02,5.000000000000e-01,1.999999955297e-02,0.000000000000e+00
1.184380054474e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,2.999999932945e-02,5.000000000000e-01,2.999999932945e-02,0.000000000000e+00
1.184309959412e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,3.999999910593e-02,5.000000000000e-01,3.999999910593e-02,0.000000000000e+00
1.184209942818e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.000000074506e-02,5.000000000000e-01,5.000000074506e-02,0.000000000000e+00
1.184090018272e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.999999865890e-02,5.000000000000e-01,5.999999865890e-02,0.000000000000e+00
1.183949947357e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,7.000000029802e-02,5.000000000000e-01,7.000000029802e-02,0.000000000000e+00
1.183789968491e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,7.999999821186e-02,5.000000000000e-01,7.999999821186e-02,0.000000000000e+00
1.183609962463e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,9.000000357628e-02,5.000000000000e-01,9.000000357628e-02,0.000000000000e+00
1.183410048485e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.000000014901e-01,5.000000000000e-01,1.000000014901e-01,0.000000000000e+00
1.183179974556e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.099999994040e-01,5.000000000000e-01,1.099999994040e-01,0.000000000000e+00
1.182940006256e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.199999973178e-01,5.000000000000e-01,1.199999973178e-01,0.000000000000e+00
1.182669997215e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.299999952316e-01,5.000000000000e-01,1.299999952316e-01,0.000000000000e+00
1.182379961014e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.400000005960e-01,5.000000000000e-01,1.400000005960e-01,0.000000000000e+00
1.182070016861e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.500000059605e-01,5.000000000000e-01,1.500000059605e-01,0.000000000000e+00
1.181750059128e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.599999964237e-01,5.000000000000e-01,1.599999964237e-01,0.000000000000e+00
1.181399941444e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.700000017881e-01,5.000000000000e-01,1.700000017881e-01,0.000000000000e+00
1.181030035019e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.800000071526e-01,5.000000000000e-01,1.800000071526e-01,0.000000000000e+00
1.180639982224e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.899999976158e-01,5.000000000000e-01,1.899999976158e-01,0.000000000000e+00
1.180240035057e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,2.000000029802e-01,5.000000000000e-01,2.000000029802e-01,0.000000000000e+00
1.179810047150e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,2.099999934435e-01,5.000000000000e-01,2.099999934435e-01,0.000000000000e+00
1.179370045662e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,2.199999988079e-01,5.000000000000e-01,2.199999988079e-01,0.000000000000e+00
1.178900003433e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,2.300000041723e-01,5.000000000000e-01,2.300000041723e-01,0.000000000000e+00
1.178419947624e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,2.399999946356e-01,5.000000000000e-01,2.399999946356e-01,0.000000000000e+00
1.177919983864e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,2.500000000000e-01,5.000000000000e-01,2.500000000000e-01,0.000000000000e+00
1.177410006523e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,2.599999904633e-01,5.000000000000e-01,2.599999904633e-01,0.000000000000e+00
1.176869988441e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,2.700000107288e-01,5.000000000000e-01,2.700000107288e-01,0.000000000000e+00
1.176319956779e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,2.800000011921e-01,5.000000000000e-01,2.800000011921e-01,0.000000000000e+00
1.175760030746e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,2.899999916553e-01,5.000000000000e-01,2.899999916553e-01,0.000000000000e+00
1.175169944763e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,3.000000119209e-01,5.000000000000e-01,3.000000119209e-01,0.000000000000e+00
1.174579977989e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,3.100000023842e-01,5.000000000000e-01,3.100000023842e-01,0.000000000000e+00
1.173959970474e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,3.199999928474e-01,5.000000000000e-01,3.199999928474e-01,0.000000000000e+00
1.173329949379e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,3.300000131130e-01,5.000000000000e-01,3.300000131130e-01,0.000000000000e+00
1.172690033913e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,3.400000035763e-01,5.000000000000e-01,3.400000035763e-01,0.000000000000e+00
1.172029972076e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,3.499999940395e-01,5.000000000000e-01,3.499999940395e-01,0.000000000000e+00
1.171360015869e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,3.600000143051e-01,5.000000000000e-01,3.600000143051e-01,0.000000000000e+00
1.170670032501e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,3.700000047684e-01,5.000000000000e-01,3.700000047684e-01,0.000000000000e+00
1.169970035553e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,3.799999952316e-01,5.000000000000e-01,3.799999952316e-01,0.000000000000e+00
1.169260025024e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,3.899999856949e-01,5.000000000000e-01,3.899999856949e-01,0.000000000000e+00
1.168540000916e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,4.000000059605e-01,5.000000000000e-01,4.000000059605e-01,0.000000000000e+00
1.167799949646e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,4.099999964237e-01,5.000000000000e-01,4.099999964237e-01,0.000000000000e+00
1.167060017586e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,4.199999868870e-01,5.000000000000e-01,4.199999868870e-01,0.000000000000e+00
1.166300058365e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,4.300000071526e-01,5.000000000000e-01,4.300000071526e-01,0.000000000000e+00
1.165529966354e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,4.399999976158e-01,5.000000000000e-01,4.399999976158e-01,0.000000000000e+00
1.164749979973e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,4.499999880791e-01,5.000000000000e-01,4.499999880791e-01,0.000000000000e+00
1.163959980011e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,4.600000083447e-01,5.000000000000e-01,4.600000083447e-01,0.000000000000e+00
1.163159966469e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,4.699999988079e-01,5.000000000000e-01,4.699999988079e-01,0.000000000000e+00
1.162359952927e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,4.799999892712e-01,5.000000000000e-01,4.799999892712e-01,0.000000000000e+00
1.161540031433e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,4.900000095367e-01,5.000000000000e-01,4.900000095367e-01,0.000000000000e+00
1.160680055618e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,0.000000000000e+00
1.159119963646e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.099999904633e-01,5.000000000000e-01,5.099999904633e-01,0.000000000000e+00
1.157469987869e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.199999809265e-01,5.000000000000e-01,5.199999809265e-01,0.000000000000e+00
1.155809998512e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.299999713898e-01,5.000000000000e-01,5.299999713898e-01,0.000000000000e+00
1.154139995575e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.400000214577e-01,5.000000000000e-01,5.400000214577e-01,0.000000000000e+00
1.152449965477e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.500000119209e-01,5.000000000000e-01,5.500000119209e-01,0.000000000000e+00
1.150730013847e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.600000023842e-01,5.000000000000e-01,5.600000023842e-01,0.000000000000e+00
1.149000048637e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.699999928474e-01,5.000000000000e-01,5.699999928474e-01,0.000000000000e+00
1.147230029106e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.799999833107e-01,5.000000000000e-01,5.799999833107e-01,0.000000000000e+00
1.145439982414e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,5.899999737740e-01,5.000000000000e-01,5.899999737740e-01,0.000000000000e+00
1.143610000610e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,6.000000238419e-01,5.000000000000e-01,6.000000238419e-01,0.000000000000e+00
1.141749978065e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,6.100000143051e-01,5.000000000000e-01,6.100000143051e-01,0.000000000000e+00
1.139850020409e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,6.200000047684e-01,5.000000000000e-01,6.200000047684e-01,0.000000000000e+00
1.138710021973e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,6.299999952316e-01,5.000000000000e-01,6.299999952316e-01,0.000000000000e+00
1.138520002365e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,6.399999856949e-01,5.000000000000e-01,6.399999856949e-01,0.000000000000e+00
1.138280034065e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,6.499999761581e-01,5.000000000000e-01,6.499999761581e-01,0.000000000000e+00
1.137989997864e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,6.600000262260e-01,5.000000000000e-01,6.600000262260e-01,0.000000000000e+00
1.137660026550e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,6.700000166893e-01,5.000000000000e-01,6.700000166893e-01,0.000000000000e+00
1.137279987335e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,6.800000071526e-01,5.000000000000e-01,6.800000071526e-01,0.000000000000e+00
1.136860013008e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,6.899999976158e-01,5.000000000000e-01,6.899999976158e-01,0.000000000000e+00
1.136399984360e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,6.999999880791e-01,5.000000000000e-01,6.999999880791e-01,0.000000000000e+00
1.135890007019e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,7.099999785423e-01,5.000000000000e-01,7.099999785423e-01,0.000000000000e+00
1.135329961777e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,7.200000286102e-01,5.000000000000e-01,7.200000286102e-01,0.000000000000e+00
1.134719967842e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,7.300000190735e-01,5.000000000000e-01,7.300000190735e-01,0.000000000000e+00
1.134060025215e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,7.400000095367e-01,5.000000000000e-01,7.400000095367e-01,0.000000000000e+00
1.133299946785e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,7.500000000000e-01,5.000000000000e-01,7.500000000000e-01,0.000000000000e+00
1.134279966354e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,7.599999904633e-01,5.000000000000e-01,7.599999904633e-01,0.000000000000e+00
1.135249972343e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,7.699999809265e-01,5.000000000000e-01,7.699999809265e-01,0.000000000000e+00
1.136170029640e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,7.799999713898e-01,5.000000000000e-01,7.799999713898e-01,0.000000000000e+00
1.137040019035e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,7.900000214577e-01,5.000000000000e-01,7.900000214577e-01,0.000000000000e+00
1.137869954109e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,8.000000119209e-01,5.000000000000e-01,8.000000119209e-01,0.000000000000e+00
1.138640046120e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,8.100000023842e-01,5.000000000000e-01,8.100000023842e-01,0.000000000000e+00
1.139379978180e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,8.199999928474e-01,5.000000000000e-01,8.199999928474e-01,0.000000000000e+00
1.140069961548e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,8.299999833107e-01,5.000000000000e-01,8.299999833107e-01,0.000000000000e+00
1.140709996223e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,8.399999737740e-01,5.000000000000e-01,8.399999737740e-01,0.000000000000e+00
