"wetting potential","permeability-X","permeability-Y","permeability-Offdiagonal","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4963,1,1,0,1,0,0,0.7,0
1.4963,1,1,0,1,0.00024956,0.00024956,0.7,0
1.4963,1,1,0,1,0.00049913,0.00049913,0.7,0
1.4963,1,1,0,1,0.00074869,0.00074869,0.7,0
1.4963,1,1,0,1,0.00099825,0.00099825,0.7,0
1.4953,1,1,0,1,0.0012478,0.0012478,0.7,0
1.4953,1,1,0,1,0.0014974,0.0014974,0.7,0
1.4953,1,1,0,1,0.0017469,0.0017469,0.7,0
1.4953,1,1,0,1,0.0019965,0.0019965,0.7,0
1.4943,1,1,0,1,0.0022461,0.0022461,0.7,0
1.4943,1,1,0,1,0.0024956,0.0024956,0.7,0
1.4943,1,1,0,1,0.0027452,0.0027452,0.7,0
1.4943,1,1,0,1,0.0029948,0.0029948,0.7,0
1.4933,1,1,0,1,0.0032443,0.0032443,0.7,0
1.4933,1,1,0,1,0.0034939,0.0034939,0.7,0
1.4933,1,1,0,1,0.0037434,0.0037434,0.7,0
1.4933,1,1,0,1,0.003993,0.003993,0.7,0
1.4923,1,1,0,1,0.0042426,0.0042426,0.7,0
1.4923,1,1,0,1,0.0044921,0.0044921,0.7,0
1.4923,1,1,0,1,0.0047417,0.0047417,0.7,0
1.4923,1,1,0,1,0.0049913,0.0049913,0.7,0
1.4913,1,1,0,1,0.0052408,0.0052408,0.7,0
1.4913,1,1,0,1,0.0054904,0.0054904,0.7,0
1.4913,1,1,0,1,0.00574,0.00574,0.7,0
1.4913,1,1,0,1,0.0059895,0.0059895,0.7,0
1.4903,1,1,0,1,0.0062391,0.0062391,0.7,0
1.4903,1,1,0,1,0.0064886,0.0064886,0.7,0
1.4903,1,1,0,1,0.0067382,0.0067382,0.7,0
1.4903,1,1,0,1,0.0069878,0.0069878,0.7,0
1.4894,1,1,0,1,0.0072373,0.0072373,0.7,0
1.4894,1,1,0,1,0.0074869,0.0074869,0.7,0
1.4894,1,1,0,1,0.0077365,0.0077365,0.7,0
1.4894,1,1,0,1,0.007986,0.007986,0.7,0
1.4884,1,1,0,1,0.0082356,0.0082356,0.7,0
1.4884,1,1,0,1,0.0084852,0.0084852,0.7,0
1.4884,1,1,0,1,0.0087347,0.0087347,0.7,0
1.4884,1,1,0,1,0.0089843,0.0089843,0.7,0
1.4874,1,1,0,1,0.0092338,0.0092338,0.7,0
1.4874,1,1,0,1,0.0094834,0.0094834,0.7,0
1.4874,1,1,0,1,0.009733,0.009733,0.7,0
1.4874,1,1,0,1,0.0099825,0.0099825,0.7,0
1.4864,1,1,0,1,0.010232,0.010232,0.7,0
1.4864,1,1,0,1,0.010482,0.010482,0.7,0
1.4864,1,1,0,1,0.010731,0.010731,0.7,0
1.4864,1,1,0,1,0.010981,0.010981,0.7,0
1.4854,1,1,0,1,0.01123,0.01123,0.7,0
1.4854,1,1,0,1,0.01148,0.01148,0.7,0
1.4854,1,1,0,1,0.011729,0.011729,0.7,0
1.4854,1,1,0,1,0.011979,0.011979,0.7,0
1.4845,1,1,0,1,0.012229,0.012229,0.7,0
1.4845,1,1,0,1,0.012478,0.012478,0.7,0
1.4845,1,1,0,1,0.012728,0.012728,0.7,0
1.4845,1,1,0,1,0.012977,0.012977,0.7,0
1.4835,1,1,0,1,0.013227,0.013227,0.7,0
1.4835,1,1,0,1,0.013476,0.013476,0.7,0
1.4835,1,1,0,1,0.013726,0.013726,0.7,0
1.4835,1,1,0,1,0.013976,0.013976,0.7,0
1.4825,1,1,0,1,0.014225,0.014225,0.7,0
1.4825,1,1,0,1,0.014475,0.014475,0.7,0
1.4825,1,1,0,1,0.014724,0.014724,0.7,0
1.4825,1,1,0,1,0.014974,0.014974,0.7,0
1.4815,1,1,0,1,0.015223,0.015223,0.7,0
1.4815,1,1,0,1,0.015473,0.015473,0.7,0
1.4815,1,1,0,1,0.015722,0.015722,0.7,0
1.4815,1,1,0,1,0.015972,0.015972,0.7,0
1.4806,1,1,0,1,0.016222,0.016222,0.7,0
1.4806,1,1,0,1,0.016471,0.016471,0.7,0
1.4806,1,1,0,1,0.016721,0.016721,0.7,0
1.4806,1,1,0,1,0.01697,0.01697,0.7,0
1.4796,1,1,0,1,0.01722,0.01722,0.7,0
1.4796,1,1,0,1,0.017469,0.017469,0.7,0
1.4796,1,1,0,1,0.017719,0.017719,0.7,0
1.4796,1,1,0,1,0.017969,0.017969,0.7,0
1.4787,1,1,0,1,0.018218,0.018218,0.7,0
1.4787,1,1,0,1,0.018468,0.018468,0.7,0
1.4787,1,1,0,1,0.018717,0.018717,0.7,0
1.4787,1,1,0,1,0.018967,0.018967,0.7,0
1.4777,1,1,0,1,0.019216,0.019216,0.7,0
1.4777,1,1,0,1,0.019466,0.019466,0.7,0
1.4777,1,1,0,1,0.019715,0.019715,0.7,0
1.4777,1,1,0,1,0.019965,0.019965,0.7,0
1.4768,1,1,0,1,0.020215,0.020215,0.7,0
1.4768,1,1,0,1,0.020464,0.020464,0.7,0
1.4768,1,1,0,1,0.020714,0.020714,0.7,0
1.4768,1,1,0,1,0.020963,0.020963,0.7,0
1.4758,1,1,0,1,0.021213,0.021213,0.7,0
1.4758,1,1,0,1,0.021462,0.021462,0.7,0
1.4758,1,1,0,1,0.021712,0.021712,0.7,0
1.4758,1,1,0,1,0.021962,0.021962,0.7,0
1.4748,1,1,0,1,0.022211,0.022211,0.7,0
1.4748,1,1,0,1,0.022461,0.022461,0.7,0
1.4748,1,1,0,1,0.02271,0.02271,0.7,0
1.4748,1,1,0,1,0.02296,0.02296,0.7,0
1.4739,1,1,0,1,0.023209,0.023209,0.7,0
1.4739,1,1,0,1,0.023459,0.023459,0.7,0
1.4739,1,1,0,1,0.023709,0.023709,0.7,0
1.4739,1,1,0,1,0.023958,0.023958,0.7,0
1.4729,1,1,0,1,0.024208,0.024208,0.7,0
1.4729,1,1,0,1,0.024457,0.024457,0.7,0
1.4729,1,1,0,1,0.024707,0.024707,0.7,0
1.4729,1,1,0,1,0.024956,0.024956,0.7,0
1.472,1,1,0,1,0.025206,0.025206,0.7,0
1.472,1,1,0,1,0.025455,0.025455,0.7,0
1.472,1,1,0,1,0.025705,0.025705,0.7,0
1.472,1,1,0,1,0.025955,0.025955,0.7,0
1.4711,1,1,0,1,0.026204,0.026204,0.7,0
1.4711,1,1,0,1,0.026454,0.026454,0.7,0
1.4711,1,1,0,1,0.026703,0.026703,0.7,0
1.4711,1,1,0,1,0.026953,0.026953,0.7,0
1.4701,1,1,0,1,0.027202,0.027202,0.7,0
1.4701,1,1,0,1,0.027452,0.027452,0.7,0
1.4701,1,1,0,1,0.027702,0.027702,0.7,0
1.4701,1,1,0,1,0.027951,0.027951,0.7,0
