"pressure","permeability","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
118.77,1,1,0,0,-200,0
118.77,1,1,0.72007,0.72007,-200,0
118.77,1,1,1.4401,1.4401,-200,0
118.77,1,1,2.1602,2.1602,-200,0
118.77,1,1,2.8803,2.8803,-200,0
118.77,1,1,3.6004,3.6004,-200,0
118.77,1,1,4.3204,4.3204,-200,0
118.77,1,1,5.0405,5.0405,-200,0
118.76,1,1,5.7606,5.7606,-200,0
118.76,1,1,6.4806,6.4806,-200,0
118.76,1,1,7.2007,7.2007,-200,0
118.76,1,1,7.9208,7.9208,-200,0
118.76,1,1,8.6409,8.6409,-200,0
118.76,1,1,9.3609,9.3609,-200,0
118.76,1,1,10.081,10.081,-200,0
118.76,1,1,10.801,10.801,-200,0
118.76,1,1,11.521,11.521,-200,0
118.76,1,1,12.241,12.241,-200,0
118.76,1,1,12.961,12.961,-200,0
118.76,1,1,13.681,13.681,-200,0
118.76,1,1,14.401,14.401,-200,0
118.76,1,1,15.122,15.122,-200,0
118.76,1,1,15.842,15.842,-200,0
118.75,1,1,16.562,16.562,-200,0
118.75,1,1,17.282,17.282,-200,0
118.75,1,1,18.002,18.002,-200,0
118.75,1,1,18.722,18.722,-200,0
118.75,1,1,19.442,19.442,-200,0
118.75,1,1,20.162,20.162,-200,0
118.75,1,1,20.882,20.882,-200,0
118.74,1,1,21.602,21.602,-200,0
118.74,1,1,22.322,22.322,-200,0
118.74,1,1,23.042,23.042,-200,0
118.74,1,1,23.762,23.762,-200,0
118.74,1,1,24.482,24.482,-200,0
118.74,1,1,25.203,25.203,-200,0
118.74,1,1,25.923,25.923,-200,0
118.72,1,1,26.643,26.643,-200,0
118.72,1,1,27.363,27.363,-200,0
118.72,1,1,28.083,28.083,-200,0
118.72,1,1,28.803,28.803,-200,0
118.72,1,1,29.523,29.523,-200,0
118.72,1,1,30.243,30.243,-200,0
118.72,1,1,30.963,30.963,-200,0
118.7,1,1,31.683,31.683,-200,0
118.7,1,1,32.403,32.403,-200,0
118.7,1,1,33.123,33.123,-200,0
118.7,1,1,33.843,33.843,-200,0
118.7,1,1,34.563,34.563,-200,0
118.7,1,1,35.284,35.284,-200,0
118.7,1,1,36.004,36.004,-200,0
118.7,1,1,36.724,36.724,-200,0
118.68,1,1,37.444,37.444,-200,0
118.68,1,1,38.164,38.164,-200,0
118.68,1,1,38.884,38.884,-200,0
118.68,1,1,39.604,39.604,-200,0
118.68,1,1,40.324,40.324,-200,0
118.68,1,1,41.044,41.044,-200,0
118.68,1,1,41.764,41.764,-200,0
118.65,1,1,42.484,42.484,-200,0
118.65,1,1,43.204,43.204,-200,0
118.65,1,1,43.924,43.924,-200,0
118.65,1,1,44.644,44.644,-200,0
118.65,1,1,45.365,45.365,-200,0
118.65,1,1,46.085,46.085,-200,0
118.65,1,1,46.805,46.805,-200,0
118.61,1,1,47.525,47.525,-200,0
118.61,1,1,48.245,48.245,-200,0
118.61,1,1,48.965,48.965,-200,0
118.61,1,1,49.685,49.685,-200,0
118.61,1,1,50.405,50.405,-200,0
118.61,1,1,51.125,51.125,-200,0
118.61,1,1,51.845,51.845,-200,0
118.58,1,1,52.565,52.565,-200,0
118.58,1,1,53.285,53.285,-200,0
118.58,1,1,54.005,54.005,-200,0
118.58,1,1,54.725,54.725,-200,0
118.58,1,1,55.446,55.446,-200,0
118.58,1,1,56.166,56.166,-200,0
118.54,1,1,56.886,56.886,-200,0
118.54,1,1,57.606,57.606,-200,0
118.54,1,1,58.326,58.326,-200,0
118.54,1,1,59.046,59.046,-200,0
118.54,1,1,59.766,59.766,-200,0
